Date,Death Male,Death Female,Age(1-10),Age(11-20),,Age(21-30),Age(31-40),,Age(41-50),Age(51-60),,Age(60+)
21-Apr,5,4,0,0,,0,0,,3,3,,3
22-Apr,7,3,0,0,,2,0,,3,2,,3
23-Apr,5,2,0,0,,0,0,,1,2,,4
24-Apr,4,0,0,0,,0,0,,0,4,,0
25-Apr,4,5,0,0,,0,0,,0,1,,8
26-Apr,3,2,1,0,,0,0,,0,3,,1
27-Apr,6,1,1,0,,0,0,,1,0,,5
28-Apr,3,0,0,0,,0,0,,0,0,,3
29-Apr,6,2,0,0,,0,2,,0,2,,4
30-Apr,3,2,0,0,,0,0,,3,0,,2
1-May,1,1,0,0,,0,0,,0,1,,1
2-May,3,2,0,0,,0,1,,2,1,,1
3-May,1,1,0,1,,0,0,,0,0,,1
4-May,5,0,0,0,,0,1,,0,1,,3
5-May,1,0,0,0,,1,0,,0,0,,0
6-May,2,1,0,0,,0,0,,1,0,,2
7-May,8,5,0,1,,0,0,,2,4,,6
8-May,5,2,0,0,,0,0,,0,2,,5
9-May,8,0,0,0,,0,2,,1,1,,4
10-May,10,4,0,0,,0,1,,4,3,,6
11-May,5,6,0,0,,1,2,,2,4,,2
12-May,7,4,0,0,,0,0,,0,3,,8
13-May,12,7,1,0,,0,1,,0,7,,10
14-May,11,3,0,0,,1,1,,5,5,,2
15-May,7,8,0,0,,1,1,,0,8,,5
16-May,16,0,0,0,,0,1,,5,6,,4
17-May,13,1,0,0,,0,1,,2,3,,7
18-May,17,4,0,0,,0,2,,6,8,,5
19-May,15,6,0,1,,2,2,,5,5,,6
20-May,13,3,1,0,,1,1,,1,5,,7
21-May,19,3,0,2,,0,1,,2,10,,7
22-May,19,5,0,0,,3,3,,4,5,,9
23-May,16,4,0,0,,2,3,,3,8,,4
24-May,23,5,0,0,,0,3,,3,13,,9
25-May,16,5,0,1,,0,0,,3,9,,8
26-May,14,7,1,1,,0,2,,5,7,,5
27-May,20,2,1,0,,2,2,,2,7,,8
28-May,11,4,0,0,,0,2,,0,5,,8
29-May,19,4,0,1,,1,2,,5,5,,9
30-May,25,3,0,0,,0,4,,4,9,,11
31-May,33,7,0,0,,1,5,,11,8,,15
1-Jun,19,3,0,0,,1,0,,8,4,,9
2-Jun,33,4,0,0,,1,4,,1,10,,21
3-Jun,28,9,0,0,,1,3,,5,12,,16
4-Jun,29,6,0,0,,3,1,,3,14,,14
5-Jun,23,7,0,0,,0,3,,7,11,,9
6-Jun,28,7,0,2,,3,2,,3,10,,15
7-Jun,35,7,0,0,,1,7,,9,7,,18
