Date,Home Quarentined,Home Quarentine Realeased,Facility Quarentine,Facility Quarentine Released
17-Apr,4976,808,790,54
18-Apr,3641,3926,174,100
19-Apr,3892,1484,479,90
20-Apr,30809,1757,270,88
21-Apr,4168,1984,1424,208
22-Apr,3240,3052,327,120
23-Apr,3429,3590,548,251
24-Apr,3128,4865,368,230
25-Apr,2154,3884,140,173
26-Apr,2727,3701,164,262
27-Apr,2213,4358,157,232
28-Apr,2081,3090,311,141
29-Apr,2412,2533,132,469
30-Apr,2067,6795,115,287
1-May,2248,3094,133,368
2-May,1282,2442,261,408
3-May,1943,3007,206,497
4-May,2528,28340,214,208
5-May,2122,3062,355,226
6-May,3145,2803,744,1069
7-May,1851,2337,480,630
8-May,2252,3580,367,396
9-May,1690,3066,65,652
10-May,1956,2635,262,344
11-May,2269,2275,91,164
12-May,1549,2755,117,310
13-May,2192,2231,366,431
14-May,2655,1996,376,302
15-May,2712,1897,85,109
16-May,2450,1632,60,72
